ZIP_CODE,DMA_code,DMA
80933,752,COLORADO SPRINGS - PUEBLO
80934,752,COLORADO SPRINGS - PUEBLO
80935,752,COLORADO SPRINGS - PUEBLO
80936,752,COLORADO SPRINGS - PUEBLO
80937,752,COLORADO SPRINGS - PUEBLO
80938,752,COLORADO SPRINGS - PUEBLO
80939,752,COLORADO SPRINGS - PUEBLO
80941,752,COLORADO SPRINGS - PUEBLO
80942,752,COLORADO SPRINGS - PUEBLO
80943,752,COLORADO SPRINGS - PUEBLO
80944,752,COLORADO SPRINGS - PUEBLO
80946,752,COLORADO SPRINGS - PUEBLO
80947,752,COLORADO SPRINGS - PUEBLO
80949,752,COLORADO SPRINGS - PUEBLO
80950,752,COLORADO SPRINGS - PUEBLO
80951,752,COLORADO SPRINGS - PUEBLO
80960,752,COLORADO SPRINGS - PUEBLO
80962,752,COLORADO SPRINGS - PUEBLO
80970,752,COLORADO SPRINGS - PUEBLO
80977,752,COLORADO SPRINGS - PUEBLO
80997,752,COLORADO SPRINGS - PUEBLO
81001,752,COLORADO SPRINGS - PUEBLO
81002,752,COLORADO SPRINGS - PUEBLO
81003,752,COLORADO SPRINGS - PUEBLO
81004,752,COLORADO SPRINGS - PUEBLO
81005,752,COLORADO SPRINGS - PUEBLO
81006,752,COLORADO SPRINGS - PUEBLO
81007,752,COLORADO SPRINGS - PUEBLO
81008,752,COLORADO SPRINGS - PUEBLO
81009,752,COLORADO SPRINGS - PUEBLO
81010,752,COLORADO SPRINGS - PUEBLO
81011,752,COLORADO SPRINGS - PUEBLO
81012,752,COLORADO SPRINGS - PUEBLO
81019,752,COLORADO SPRINGS - PUEBLO
81020,752,COLORADO SPRINGS - PUEBLO
81021,752,COLORADO SPRINGS - PUEBLO
81022,752,COLORADO SPRINGS - PUEBLO
81023,752,COLORADO SPRINGS - PUEBLO
81024,752,COLORADO SPRINGS - PUEBLO
81025,752,COLORADO SPRINGS - PUEBLO
81027,752,COLORADO SPRINGS - PUEBLO
81029,752,COLORADO SPRINGS - PUEBLO
81030,752,COLORADO SPRINGS - PUEBLO
81033,752,COLORADO SPRINGS - PUEBLO
81034,752,COLORADO SPRINGS - PUEBLO
81036,752,COLORADO SPRINGS - PUEBLO
81038,752,COLORADO SPRINGS - PUEBLO
81039,752,COLORADO SPRINGS - PUEBLO
81040,752,COLORADO SPRINGS - PUEBLO
81041,751,DENVER
81043,751,DENVER
81044,752,COLORADO SPRINGS - PUEBLO
81045,752,COLORADO SPRINGS - PUEBLO
81046,752,COLORADO SPRINGS - PUEBLO
81047,751,DENVER
81049,752,COLORADO SPRINGS - PUEBLO
81050,752,COLORADO SPRINGS - PUEBLO
81052,751,DENVER
81054,752,COLORADO SPRINGS - PUEBLO
81055,752,COLORADO SPRINGS - PUEBLO
81057,752,COLORADO SPRINGS - PUEBLO
81058,752,COLORADO SPRINGS - PUEBLO
81059,752,COLORADO SPRINGS - PUEBLO
81062,752,COLORADO SPRINGS - PUEBLO
81063,752,COLORADO SPRINGS - PUEBLO
81064,752,COLORADO SPRINGS - PUEBLO
81067,752,COLORADO SPRINGS - PUEBLO
81069,752,COLORADO SPRINGS - PUEBLO
81071,752,COLORADO SPRINGS - PUEBLO
81073,752,COLORADO SPRINGS - PUEBLO
81076,752,COLORADO SPRINGS - PUEBLO
81077,752,COLORADO SPRINGS - PUEBLO
81081,752,COLORADO SPRINGS - PUEBLO
81082,752,COLORADO SPRINGS - PUEBLO
81084,752,COLORADO SPRINGS - PUEBLO
81087,752,COLORADO SPRINGS - PUEBLO
81089,752,COLORADO SPRINGS - PUEBLO
81090,752,COLORADO SPRINGS - PUEBLO
81091,752,COLORADO SPRINGS - PUEBLO
81092,751,DENVER
81101,751,DENVER
81102,751,DENVER
81120,751,DENVER
81121,751,DENVER
81122,790,ALBUQUERQUE - SANTA FE
81123,751,DENVER
81124,751,DENVER
81125,751,DENVER
81126,751,DENVER
81127,751,DENVER
81128,751,DENVER
81129,751,DENVER
81130,751,DENVER
81131,751,DENVER
81132,751,DENVER
81133,751,DENVER
81134,751,DENVER
81135,751,DENVER
81136,751,DENVER
81137,790,ALBUQUERQUE - SANTA FE
81138,751,DENVER
81140,751,DENVER
81141,751,DENVER
81143,751,DENVER
81144,751,DENVER
81146,751,DENVER
81147,751,DENVER
81148,751,DENVER
81149,751,DENVER
81151,751,DENVER
81152,751,DENVER
81153,751,DENVER
81154,751,DENVER
81155,751,DENVER
81157,751,DENVER
81201,751,DENVER
81210,751,DENVER
81211,751,DENVER
81212,752,COLORADO SPRINGS - PUEBLO
81215,752,COLORADO SPRINGS - PUEBLO
81220,773,GRAND JUNCTION - MONTROSE
81221,752,COLORADO SPRINGS - PUEBLO
81222,752,COLORADO SPRINGS - PUEBLO
81223,752,COLORADO SPRINGS - PUEBLO
81224,751,DENVER
81225,751,DENVER
81226,752,COLORADO SPRINGS - PUEBLO
81227,751,DENVER
81228,751,DENVER
81230,751,DENVER
81231,751,DENVER
81232,752,COLORADO SPRINGS - PUEBLO
81233,752,COLORADO SPRINGS - PUEBLO
81235,751,DENVER
81236,751,DENVER
81237,751,DENVER
81239,751,DENVER
81240,752,COLORADO SPRINGS - PUEBLO
81241,751,DENVER
81242,751,DENVER
81243,751,DENVER
81244,752,COLORADO SPRINGS - PUEBLO
81248,751,DENVER
81251,751,DENVER
81252,752,COLORADO SPRINGS - PUEBLO
81253,752,COLORADO SPRINGS - PUEBLO
81290,752,COLORADO SPRINGS - PUEBLO
81301,790,ALBUQUERQUE - SANTA FE
81302,790,ALBUQUERQUE - SANTA FE
81303,790,ALBUQUERQUE - SANTA FE
81320,751,DENVER
81321,790,ALBUQUERQUE - SANTA FE
81323,790,ALBUQUERQUE - SANTA FE
81324,751,DENVER
81325,751,DENVER
81326,790,ALBUQUERQUE - SANTA FE
81327,790,ALBUQUERQUE - SANTA FE
81328,790,ALBUQUERQUE - SANTA FE
81329,790,ALBUQUERQUE - SANTA FE
81330,790,ALBUQUERQUE - SANTA FE
81331,790,ALBUQUERQUE - SANTA FE
81332,751,DENVER
81334,790,ALBUQUERQUE - SANTA FE
81335,790,ALBUQUERQUE - SANTA FE
81401,773,GRAND JUNCTION - MONTROSE
81402,773,GRAND JUNCTION - MONTROSE
